"month","total_orders","late_orders","late_percentage"
"2016-09-01 00:00:00","1","1","100.00"
"2016-10-01 00:00:00","265","3","1.13"
"2016-12-01 00:00:00","1","0","0.00"
"2017-01-01 00:00:00","750","23","3.07"
"2017-02-01 00:00:00","1653","53","3.21"
"2017-03-01 00:00:00","2546","142","5.58"
"2017-04-01 00:00:00","2303","181","7.86"
"2017-05-01 00:00:00","3545","128","3.61"
"2017-06-01 00:00:00","3135","121","3.86"
"2017-07-01 00:00:00","3872","133","3.43"
"2017-08-01 00:00:00","4193","139","3.32"
"2017-09-01 00:00:00","4150","216","5.20"
"2017-10-01 00:00:00","4478","237","5.29"
"2017-11-01 00:00:00","7288","1043","14.31"
"2017-12-01 00:00:00","5513","462","8.38"
"2018-01-01 00:00:00","7069","464","6.56"
"2018-02-01 00:00:00","6555","1048","15.99"
"2018-03-01 00:00:00","7003","1496","21.36"
"2018-04-01 00:00:00","6798","361","5.31"
"2018-05-01 00:00:00","6749","556","8.24"
"2018-06-01 00:00:00","6096","83","1.36"
"2018-07-01 00:00:00","6156","276","4.48"
"2018-08-01 00:00:00","6351","660","10.39"
